sample_id,sample_barcode,DNA_barcode,collection_label,analysis,project,site_code,site_name,distance,collection_date,collection_time,sample_type,habitat,host,trophic,site_type,metadata,lat,long,lat.long,processing,notes,rainfall,elevation,shore_dist,shore_dist_Range
WMEA_01780_No_1,01780,1781,SoilShallow,MS,SuperTransect,1,STEstuary1,0m,20190619,10:17,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.64104301,-158.062209,21.64104301|-158.062209,Ship to Dorrestein lab,,1174.206055,0,145.1127681,0to3km
WMEA_01782_No_1,01782,1783,SoilDeep,MS,SuperTransect,1,STEstuary1,0m,20190619,10:17,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.64104301,-158.062209,21.64104301|-158.062209,Ship to Dorrestein lab,,1174.206055,0,145.1127681,0to3km
WMEA_01784_No_1,01784,1785,Water,MS,SuperTransect,1,STEstuary1,0m,20190619,10:12,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.64104301,-158.062209,21.64104301|-158.062209,Ship to Dorrestein lab,,1174.206055,0,145.1127681,0to3km
WMEA_01786_No_1,01786,1787,Sediment,MS,SuperTransect,1,STEstuary1,0m,20190619,10:14,Sediment,Riverine,Nonhost,Environmental,Transect,,21.64104301,-158.062209,21.64104301|-158.062209,Ship to Dorrestein lab,,1174.206055,0,145.1127681,0to3km
WMEA_01788_No_2,01788,1789,SoilShallow,MS,SuperTransect,2,STEstuary2,100m,20190619,10:45,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.64049098,-158.061368,21.64049098|-158.061368,Ship to Dorrestein lab,,1174.206055,0,225.2616624,0to3km
WMEA_01790_No_2,01790,1791,SoilDeep,MS,SuperTransect,2,STEstuary2,100m,20190619,10:45,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.64049098,-158.061368,21.64049098|-158.061368,Ship to Dorrestein lab,,1174.206055,0,225.2616624,0to3km
WMEA_01792_No_2,01792,1793,Water,MS,SuperTransect,2,STEstuary2,100m,20190619,10:38,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.64049098,-158.061368,21.64049098|-158.061368,Ship to Dorrestein lab,,1174.206055,0,225.2616624,0to3km
WMEA_01794_No_2,01794,1795,Sediment,MS,SuperTransect,2,STEstuary2,100m,20190619,10:38,Sediment,Riverine,Nonhost,Environmental,Transect,,21.64049098,-158.061368,21.64049098|-158.061368,Ship to Dorrestein lab,,1174.206055,0,225.2616624,0to3km
WMEA_01796_No_3,01796,1797,SoilShallow,MS,SuperTransect,3,STEstuary3,200m,20190619,10:57,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.639674,-158.060752,21.639674|-158.060752,Ship to Dorrestein lab,,1207.720947,0,307.2795498,0to3km
WMEA_01798_No_3,01798,1799,SoilDeep,MS,SuperTransect,3,STEstuary3,200m,20190619,10:57,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.639674,-158.060752,21.639674|-158.060752,Ship to Dorrestein lab,,1207.720947,0,307.2795498,0to3km
